NAME,CLASSIFICATION,DATE OF OCCURRENCE,YEAR OF OCCURRENCE,LATITUDE,LONGITUDE
Florita,Tropical Storm,06/29/2018,2018,20.1,129.7
Florita,Tropical Storm,06/30/2018,2018,20.5,129.6
Florita,Tropical Storm,06/30/2018,2018,20.9,129.4
Florita,Tropical Storm,06/30/2018,2018,21.8,128.8
Florita,Tropical Storm,06/30/2018,2018,22.9,128.1
Florita,Severe Tropical Storm,01/07/2018,2018,23.6,127.6
Florita,Severe Tropical Storm,01/07/2018,2018,24.4,127.2
Florita,Severe Tropical Storm,01/07/2018,2018,25.3,126.9
Gardo,Tropical Depression,03/07/2018,2018,10.1,147.8
Gardo,Tropical Depression,03/07/2018,2018,10.6,147.6
Gardo,Tropical Depression,03/07/2018,2018,11.1,147.2
Gardo,Tropical Depression,03/07/2018,2018,11.4,146.7
Gardo,Tropical Depression,04/07/2018,2018,11.6,146.4
Gardo,Tropical Depression,04/07/2018,2018,12.1,146.2
Gardo,Tropical Storm,04/07/2018,2018,12.7,145.8
Gardo,Tropical Storm,04/07/2018,2018,13.6,144.8
Gardo,Severe Tropical Storm,05/07/2018,2018,14.1,144.1
Gardo,Severe Tropical Storm,05/07/2018,2018,14.4,143.4
Gardo,Typhoon,05/07/2018,2018,14.8,142.7
Gardo,Typhoon,05/07/2018,2018,15.4,142.3
Gardo,Typhoon,06/07/2018,2018,16,142
Gardo,Typhoon,06/07/2018,2018,16.5,141.6
Gardo,Typhoon,06/07/2018,2018,16.7,141.3
Gardo,Typhoon,06/07/2018,2018,16.9,141
Gardo,Typhoon,07/07/2018,2018,17.1,140.8
Gardo,Typhoon,07/07/2018,2018,17.6,140.6
Gardo,Typhoon,07/07/2018,2018,18,140.3
Gardo,Typhoon,07/07/2018,2018,18.5,139.7
Gardo,Typhoon,08/07/2018,2018,19.1,138.9
Gardo,Typhoon,08/07/2018,2018,19.8,137.8
Gardo,Typhoon,08/07/2018,2018,20.5,136.5
Gardo,Typhoon,08/07/2018,2018,21.1,135.1
Gardo,Typhoon,09/07/2018,2018,21.8,133.5
Gardo,Typhoon,09/07/2018,2018,22.4,131.9
Gardo,Typhoon,09/07/2018,2018,23,130.3
Gardo,Typhoon,09/07/2018,2018,23.5,128.7
Gardo,Typhoon,10/07/2018,2018,24,127.2
Gardo,Typhoon,10/07/2018,2018,24.6,125.5
Gardo,Typhoon,10/07/2018,2018,25.2,124
Gardo,Typhoon,10/07/2018,2018,26.1,122.3
Gardo,Typhoon,11/07/2018,2018,26.4,120.2
Henry,Tropical Depression,07/15/2018,2018,19.1,128.2
Henry,Tropical Depression,07/15/2018,2018,18.7,127.6
Henry,Tropical Depression,07/15/2018,2018,18.6,126.9
Henry,Tropical Depression,07/15/2018,2018,18.8,126.1
Henry,Tropical Depression,07/16/2018,2018,18.9,125.3
Henry,Tropical Depression,07/16/2018,2018,18.9,124.6
Henry,Tropical Depression,07/16/2018,2018,18.8,123.8
Henry,Tropical Depression,07/16/2018,2018,18.7,123
Henry,Tropical Depression,07/16/2018,2018,18.8,122.2
Henry,Tropical Depression,07/16/2018,2018,18.9,121.5
Henry,Tropical Depression,07/16/2018,2018,19.1,120.8
Henry,Tropical Depression,07/16/2018,2018,19.2,119.6
Henry,Tropical Storm,07/17/2018,2018,19.3,118.4
Inday,Tropical Depression,07/17/2018,2018,18.4,127.9
Inday,Tropical Depression,07/17/2018,2018,18.8,128.2
Inday,Tropical Depression,07/18/2018,2018,19.1,128.7
Inday,Tropical Depression,07/18/2018,2018,19.4,129.3
Inday,Tropical Storm,07/18/2018,2018,19.6,129.9
Inday,Tropical Storm,07/18/2018,2018,19.8,130.4
Inday,Tropical Storm,07/19/2018,2018,20.1,131
Inday,Tropical Storm,07/19/2018,2018,20.8,131.7
Inday,Tropical Storm,07/19/2018,2018,21.6,131.6
Inday,Tropical Storm,07/19/2018,2018,22.2,131.2
Inday,Severe Tropical Storm,07/20/2018,2018,22.5,130.8
Inday,Severe Tropical Storm,07/20/2018,2018,23.1,130.5
Inday,Severe Tropical Storm,07/20/2018,2018,24.4,129.9
Inday,Severe Tropical Storm,07/20/2018,2018,25.6,129
Josie,Low Pressure Area (LPA),07/20/2018,2018,18,116.4
Josie,Tropical Depression,07/20/2018,2018,17.8,117.3
Josie,Tropical Depression,07/21/2018,2018,17.9,118.1
Josie,Tropical Depression,07/21/2018,2018,18.1,119
Josie,Tropical Depression,07/21/2018,2018,18.4,119.8
Josie,Tropical Depression,07/21/2018,2018,18.7,120.3
Josie,Tropical Depression,07/21/2018,2018,19,120.8
Josie,Tropical Depression,07/21/2018,2018,19.3,121.2
Josie,Tropical Depression,07/21/2018,2018,19.7,121.7
Josie,Tropical Depression,07/21/2018,2018,20.3,122.3
Josie,Tropical Depression,07/22/2018,2018,20.8,122.8
Josie,Tropical Depression,07/22/2018,2018,21.3,123.3
Josie,Tropical Depression,07/22/2018,2018,22,123.8
Josie,Tropical Depression,07/22/2018,2018,23.2,124.1
Josie,Tropical Depression,07/22/2018,2018,24.6,123.9
Karding,Tropical Depression,06/08/2018,2018,18.2,134.1
Karding,Tropical Depression,06/08/2018,2018,18.5,134
Karding,Tropical Depression,06/08/2018,2018,18.7,133.9
Karding,Tropical Depression,06/08/2018,2018,18.9,133.6
Karding,Tropical Depression,07/08/2018,2018,19,133.3
Karding,Tropical Depression,07/08/2018,2018,19.1,132.8
Karding,Tropical Depression,07/08/2018,2018,19.1,132.6
Karding,Tropical Storm,07/08/2018,2018,19.1,132.5
Karding,Tropical Storm,08/08/2018,2018,19.2,132.5
Karding,Tropical Storm,08/08/2018,2018,19.5,133.4
Karding,Tropical Storm,08/08/2018,2018,19.9,133.9
Karding,Tropical Storm,08/08/2018,2018,20.6,134.1
Karding,Tropical Storm,09/08/2018,2018,21,133.8
Karding,Tropical Storm,09/08/2018,2018,20.9,133.4
Karding,Tropical Storm,09/08/2018,2018,21.1,133.4
Karding,Tropical Storm,09/08/2018,2018,22.1,133.1
Karding,Tropical Storm,10/08/2018,2018,22.8,132.2
Karding,Tropical Storm,10/08/2018,2018,22.7,132
Karding,Tropical Storm,10/08/2018,2018,23.2,131.9
Karding,Tropical Storm,10/08/2018,2018,24.2,130.9
Karding,Tropical Storm,11/08/2018,2018,25,129.6
Karding,Tropical Storm,11/08/2018,2018,25.1,128
Luis,Tropical Depression,08/22/2018,2018,22.2,119.5
Luis,Tropical Depression,08/22/2018,2018,22.3,120
Luis,Tropical Depression,08/23/2018,2018,22.8,120.4
Luis,Tropical Depression,08/23/2018,2018,23.3,120.3
Luis,Tropical Depression,08/23/2018,2018,23.6,120.2
Luis,Tropical Depression,08/23/2018,2018,24,120.2
Luis,Tropical Depression,08/24/2018,2018,24.4,120.3
Luis,Tropical Depression,08/24/2018,2018,24.7,120.5
Luis,Tropical Depression,08/24/2018,2018,25,120.4
Luis,Tropical Depression,08/24/2018,2018,25.1,120
Maymay,Tropical Depression,08/27/2018,2018,13.1,159.2
Maymay,Tropical Depression,08/27/2018,2018,13.8,158.7
Maymay,Tropical Depression,08/27/2018,2018,14.6,158
Maymay,Tropical Storm,08/28/2018,2018,15.4,157.1
Maymay,Tropical Storm,08/28/2018,2018,16.1,156.3
Maymay,Tropical Storm,08/28/2018,2018,16.6,155.3
Maymay,Severe Tropical Storm,08/28/2018,2018,16.9,154.4
Maymay,Severe Tropical Storm,08/29/2018,2018,17.1,153.5
Maymay,Typhoon,08/29/2018,2018,17.2,152.4
Maymay,Typhoon,08/29/2018,2018,17.3,151.5
Maymay,Typhoon,08/29/2018,2018,17.4,150.5
Maymay,Typhoon,08/30/2018,2018,17.6,149.2
Maymay,Typhoon,08/30/2018,2018,17.7,148.1
Maymay,Typhoon,08/30/2018,2018,17.8,146.9
Maymay,Typhoon,08/30/2018,2018,17.8,145.4
Maymay,Typhoon,08/31/2018,2018,17.9,144.2
Maymay,Typhoon,08/31/2018,2018,18.2,142.7
Maymay,Typhoon,08/31/2018,2018,18.5,141.5
Maymay,Typhoon,08/31/2018,2018,19,140.2
Maymay,Typhoon,01/09/2018,2018,19.6,139.2
Maymay,Typhoon,01/09/2018,2018,20.3,138.3
Maymay,Typhoon,01/09/2018,2018,21,137.4
Maymay,Typhoon,01/09/2018,2018,21.8,136.6
Maymay,Typhoon,02/09/2018,2018,22.7,135.8
Maymay,Typhoon,02/09/2018,2018,23.6,135
Maymay,Typhoon,02/09/2018,2018,24.5,134.4
Maymay,Typhoon,02/09/2018,2018,25.5,133.7
Maymay,Typhoon,03/09/2018,2018,26.5,133.1
Maymay,Typhoon,03/09/2018,2018,27.5,132.6
Maymay,Typhoon,03/09/2018,2018,28.6,132.6
Maymay,Typhoon,03/09/2018,2018,30.3,132.9
Maymay,Typhoon,04/09/2018,2018,32.3,133.7
Neneng,Tropical Depression,08/09/2018,2018,20.4,121.5
Neneng,Tropical Depression,08/09/2018,2018,20.5,121.9
Neneng,Tropical Depression,08/09/2018,2018,20.6,122.2
Neneng,Tropical Depression,08/09/2018,2018,20.8,122.4
Neneng,Tropical Depression,08/09/2018,2018,21,122.6
Neneng,Tropical Depression,08/09/2018,2018,21.2,122.7
Neneng,Tropical Depression,09/09/2018,2018,21.3,122.8
Neneng,Tropical Depression,09/09/2018,2018,21.4,122.9
Neneng,Tropical Depression,09/09/2018,2018,21.6,122.9
Neneng,Tropical Depression,09/09/2018,2018,21.7,122.8
Neneng,Tropical Depression,09/09/2018,2018,21.7,122.6
Neneng,Tropical Depression,09/09/2018,2018,21.7,122.4
Neneng,Tropical Depression,09/09/2018,2018,21.7,122.2
Neneng,Tropical Depression,09/09/2018,2018,21.6,122
Neneng,Tropical Depression,10/09/2018,2018,21.5,121.8
Neneng,Tropical Depression,10/09/2018,2018,21.4,121.5
Neneng,Tropical Depression,10/09/2018,2018,21.3,121
Neneng,Tropical Depression,10/09/2018,2018,21.2,120.2
Neneng,Tropical Depression,10/09/2018,2018,21.1,119.5
Ompong,Typhoon,11/09/2018,2018,13.9,137.3
Ompong,Typhoon,12/09/2018,2018,13.9,136.2
Ompong,Typhoon,12/09/2018,2018,14,135.2
Ompong,Typhoon,12/09/2018,2018,14.2,134
Ompong,Typhoon,12/09/2018,2018,14.4,132.5
Ompong,Typhoon,09/13/2018,2018,14.5,131.4
Ompong,Typhoon,09/13/2018,2018,14.7,130.1
Ompong,Typhoon,09/13/2018,2018,14.9,128.9
Ompong,Typhoon,09/13/2018,2018,15.3,127.9
Ompong,Typhoon,09/13/2018,2018,15.6,127.4
Ompong,Typhoon,09/14/2018,2018,15.9,126.9
Ompong,Typhoon,09/14/2018,2018,16.3,126.3
Ompong,Typhoon,09/14/2018,2018,16.7,125.7
Ompong,Typhoon,09/14/2018,2018,17.1,125
Ompong,Typhoon,09/14/2018,2018,17.4,124.2
Ompong,Typhoon,09/14/2018,2018,17.7,123.2
Ompong,Typhoon,09/14/2018,2018,17.9,122.2
Ompong,Typhoon,09/14/2018,2018,18,121.5
Ompong,Typhoon,09/15/2018,2018,18.1,120.8
Ompong,Typhoon,09/15/2018,2018,18.3,120.2
Ompong,Typhoon,09/15/2018,2018,18.6,119.6
Ompong,Typhoon,09/15/2018,2018,19.2,118.3
Ompong,Typhoon,09/15/2018,2018,19.8,116.9
Paeng,Typhoon,09/23/2018,2018,17.1,135.1
Paeng,Typhoon,09/23/2018,2018,17.3,134.2
Paeng,Typhoon,09/23/2018,2018,17.5,133.3
Paeng,Typhoon,09/23/2018,2018,18.1,132.2
Paeng,Typhoon,09/24/2018,2018,18.5,131.3
Paeng,Typhoon,09/24/2018,2018,18.9,130.4
Paeng,Typhoon,09/24/2018,2018,19.3,129.7
Paeng,Typhoon,09/24/2018,2018,19.5,129.1
Paeng,Typhoon,09/25/2018,2018,19.6,128.8
Paeng,Typhoon,09/25/2018,2018,19.8,128.8
Paeng,Typhoon,09/25/2018,2018,20,128.9
Paeng,Typhoon,09/25/2018,2018,20.3,128.9
Paeng,Typhoon,09/26/2018,2018,20.7,129
Paeng,Typhoon,09/26/2018,2018,21,129.2
Paeng,Typhoon,09/26/2018,2018,21.3,129.2
Paeng,Typhoon,09/26/2018,2018,21.5,129.2
Paeng,Typhoon,09/27/2018,2018,21.6,129.1
Paeng,Typhoon,09/27/2018,2018,21.7,129
Paeng,Typhoon,09/27/2018,2018,21.9,128.8
Paeng,Typhoon,09/27/2018,2018,22.2,128.4
Paeng,Typhoon,09/28/2018,2018,22.5,128
Paeng,Typhoon,09/28/2018,2018,23.1,127.3
Paeng,Typhoon,09/28/2018,2018,23.8,126.9
Paeng,Typhoon,09/28/2018,2018,24.5,126.8
Paeng,Typhoon,09/29/2018,2018,25.4,126.9
Queenie,Typhoon,01/10/2018,2018,16.1,135.2
Queenie,Typhoon,01/10/2018,2018,16.8,134.4
Queenie,Typhoon,01/10/2018,2018,17.3,133.6
Queenie,Typhoon,02/10/2018,2018,17.7,132.7
Queenie,Typhoon,02/10/2018,2018,18.2,132
Queenie,Typhoon,02/10/2018,2018,18.8,131.2
Queenie,Typhoon,02/10/2018,2018,19.5,130.4
Queenie,Typhoon,03/10/2018,2018,20.1,129.8
Queenie,Typhoon,03/10/2018,2018,20.8,129.2
Queenie,Typhoon,03/10/2018,2018,21.6,128.7
Queenie,Typhoon,03/10/2018,2018,22.5,128.1
Queenie,Typhoon,04/10/2018,2018,23.2,127.7
Queenie,Typhoon,04/10/2018,2018,24.4,127.1
Queenie,Typhoon,04/10/2018,2018,25.4,126.7
Rosita,Typhoon,10/27/2018,2018,17.8,134.8
Rosita,Typhoon,10/27/2018,2018,17.9,133.4
Rosita,Typhoon,10/27/2018,2018,18,132.2
Rosita,Typhoon,10/27/2018,2018,18,131.1
Rosita,Typhoon,10/28/2018,2018,18,130.1
Rosita,Typhoon,10/28/2018,2018,17.9,129.1
Rosita,Typhoon,10/28/2018,2018,17.7,128.1
Rosita,Typhoon,10/28/2018,2018,17.5,127.1
Rosita,Typhoon,10/28/2018,2018,17.3,126.6
Rosita,Typhoon,10/29/2018,2018,17,126.2
Rosita,Typhoon,10/29/2018,2018,16.8,125.7
Rosita,Typhoon,10/29/2018,2018,16.8,125.3
Rosita,Typhoon,10/29/2018,2018,16.8,124.8
Rosita,Typhoon,10/29/2018,2018,16.8,124.2
Rosita,Typhoon,10/29/2018,2018,16.8,123.6
Rosita,Typhoon,10/29/2018,2018,16.8,123
Rosita,Typhoon,10/29/2018,2018,16.7,122.3
Rosita,Typhoon,10/30/2018,2018,16.5,121.5
Rosita,Typhoon,10/30/2018,2018,16.5,120.8
Rosita,Severe Tropical Storm,10/30/2018,2018,16.6,120.1
